Code\x20H  4669 presidio   61r      REG                1,5         1205            19449793 /Users/presidio/Downloads/Genspark-Training/16-06-2025/TaskApp/src/app/menu/menu.css
Code\x20H  4669 presidio   62r      REG                1,5            0            19360583 /Users/presidio/Downloads/Genspark-Training/16-06-2025/TaskApp/src/app/app.css
Code\x20H  4669 presidio   63r      REG                1,5          195            19547318 /Users/presidio/Downloads/Genspark-Training/17-06-2025/MyApp/src/app/Models/product.ts
Code\x20H  4669 presidio   64r      REG                1,5          643            19547329 /Users/presidio/Downloads/Genspark-Training/17-06-2025/MyApp/src/app/first/first.ts
Code\x20H  4669 presidio   65r      REG                1,5          644            19547334 /Users/presidio/Downloads/Genspark-Training/17-06-2025/MyApp/src/app/login/login.ts
Code\x20H  4669 presidio   66r      REG                1,5          628            19547339 /Users/presidio/Downloads/Genspark-Training/17-06-2025/MyApp/src/app/menu/menu.ts
Code\x20H  4669 presidio   67r      REG                1,5         1101            19547344 /Users/presidio/Downloads/Genspark-Training/17-06-2025/MyApp/src/app/product/product.ts
Code\x20H  4669 presidio   68r      REG                1,5         3355            19547349 /Users/presidio/Downloads/Genspark-Training/17-06-2025/MyApp/src/app/products/products.ts
Code\x20H  4669 presidio   69r      REG                1,5          554            19562728 /Users/presidio/Downloads/Genspark-Training/17-06-2025/MyApp/src/app/profile/profile.ts
Code\x20H  4669 presidio   70r      REG                1,5         1405            19547351 /Users/presidio/Downloads/Genspark-Training/17-06-2025/MyApp/src/app/services/User.service.ts
Code\x20H  4669 presidio   71r      REG                1,5          657            19547352 /Users/presidio/Downloads/Genspark-Training/17-06-2025/MyApp/src/app/services/product.service.ts
Code\x20H  4669 presidio   72r      REG                1,5         1219            19546460 /Users/presidio/Downloads/Genspark-Training/17-06-2025/MyApp/node_modules/tslib/package.json
Code\x20H  4669 presidio   73r      REG                1,5         1832            19528498 /Users/presidio/Downloads/Genspark-Training/17-06-2025/MyApp/node_modules/@angular/platform-browser/package.json
Code\x20H  4669 presidio   80r      REG                1,5          429            19149674 /Users/presidio/Downloads/Genspark-Training/13-06-2025/MyApp/tsconfig.app.json
Code\x20H  4669 presidio  100r      REG                1,5          429            19592433 /Users/presidio/Downloads/Genspark-Training/17-06-2025/TaskApp/tsconfig.app.json
Code\x20H  4669 presidio  102r      REG                1,5         1052            19182951 /Users/presidio/Downloads/Genspark-Training/13-06-2025/Task/tsconfig.json
Code\x20H  4669 presidio  103r      REG                1,5          429            19182950 /Users/presidio/Downloads/Genspark-Training/13-06-2025/Task/tsconfig.app.json
Code\x20H  4669 presidio  104r      REG                1,5          408            19208188 /Users/presidio/Downloads/Genspark-Training/13-06-2025/WeatherApp/tsconfig.spec.json
Code\x20H  4669 presidio  133r      REG                1,5          262            19182924 /Users/presidio/Downloads/Genspark-Training/13-06-2025/Task/src/app/app.ts
Code\x20H  4669 presidio  134r      REG                1,5          429            21390981 /Users/presidio/Downloads/Genspark-Training/25-06-2025/TaskApp/tsconfig.app.json
Code\x20H  4669 presidio  139r      REG                1,5         1832            19164231 /Users/presidio/Downloads/Genspark-Training/13-06-2025/Task/node_modules/@angular/platform-browser/package.json
Code\x20H  4669 presidio  140r      REG                1,5         2362            19164133 /Users/presidio/Downloads/Genspark-Training/13-06-2025/Task/node_modules/@angular/core/package.json
Code\x20H  4669 presidio  141r      REG                1,5         8116            19180962 /Users/presidio/Downloads/Genspark-Training/13-06-2025/Task/node_modules/rxjs/package.json
Code\x20H  4669 presidio  142r      REG                1,5         1982            19163323 /Users/presidio/Downloads/Genspark-Training/13-06-2025/Task/node_modules/@angular/common/package.json
Code\x20H  4669 presidio  143r      REG                1,5         1776            19164249 /Users/presidio/Downloads/Genspark-Training/13-06-2025/Task/node_modules/@angular/router/package.json
Code\x20H  4669 presidio  144r      REG                1,5          993            19182911 /Users/presidio/Downloads/Genspark-Training/13-06-2025/Task/package.json
Code\x20H  4669 presidio  145r      REG                1,5         1219            19182053 /Users/presidio/Downloads/Genspark-Training/13-06-2025/Task/node_modules/tslib/package.json
Code\x20H  4669 presidio  146r      REG                1,5           26            19182052 /Users/presidio/Downloads/Genspark-Training/13-06-2025/Task/node_modules/tslib/modules/package.json
Code\x20H  4669 presidio  147r      REG                1,5         1231            19163340 /Users/presidio/Downloads/Genspark-Training/13-06-2025/Task/node_modules/@angular/compiler/package.json
Code\x20H  4669 presidio  148r      REG                1,5         2186            19182908 /Users/presidio/Downloads/Genspark-Training/13-06-2025/Task/node_modules/zone.js/package.json
Code\x20H  4669 presidio  149r      REG                1,5         1378            19164207 /Users/presidio/Downloads/Genspark-Training/13-06-2025/Task/node_modules/@angular/forms/package.json
Code\x20H  4669 presidio  150r      REG                1,5          408            19182952 /Users/presidio/Downloads/Genspark-Training/13-06-2025/Task/tsconfig.spec.json
Code\x20H  4669 presidio  151r      REG                1,5         1125            19190209 /Users/presidio/Downloads/Genspark-Training/13-06-2025/Task/src/app/login/login.css
Code\x20H  4669 presidio  153r      REG                1,5          507            19194449 /Users/presidio/Downloads/Genspark-Training/13-06-2025/Task/src/app/profile/profile.css
Code\x20H  4669 presidio  155r      REG                1,5            0            19182920 /Users/presidio/Downloads/Genspark-Training/13-06-2025/Task/src/app/app.css
Code\x20H  4669 presidio  156r      REG                1,5          992            19208186 /Users/presidio/Downloads/Genspark-Training/13-06-2025/WeatherApp/tsconfig.json
Code\x20H  4669 presidio  157r      REG                1,5          429            19208187 /Users/presidio/Downloads/Genspark-Training/13-06-2025/WeatherApp/tsconfig.app.json
Code\x20H  4669 presidio  158r      REG                1,5          222            19208194 /Users/presidio/Downloads/Genspark-Training/13-06-2025/WeatherApp/src/main.ts
Code\x20H  4669 presidio  160r      REG                1,5           77            19208203 /Users/presidio/Downloads/Genspark-Training/13-06-2025/WeatherApp/src/app/app.routes.ts
Code\x20H  4669 presidio  161r      REG                1,5          599            19208200 /Users/presidio/Downloads/Genspark-Training/13-06-2025/WeatherApp/src/app/app.ts
Code\x20H  4669 presidio  164r      REG                1,5         1052            19426455 /Users/presidio/Downloads/Genspark-Training/16-06-2025/MyApp/tsconfig.json
Code\x20H  4669 presidio  165r      REG                1,5          222            19426452 /Users/presidio/Downloads/Genspark-Training/16-06-2025/MyApp/src/main.ts
Code\x20H  4669 presidio  166r      REG                1,5          108            19245543 /Users/presidio/Downloads/Genspark-Training/13-06-2025/WeatherApp/src/environments/environment.ts
Code\x20H  4669 presidio  167r      REG                1,5         1219            19213771 /Users/presidio/Downloads/Genspark-Training/13-06-2025/WeatherApp/node_modules/tslib/package.json
Code\x20H  4669 presidio  168r      REG                1,5         1832            19219372 /Users/presidio/Downloads/Genspark-Training/13-06-2025/WeatherApp/node_modules/@angular/platform-browser/package.json
Code\x20H  4669 presidio  169r      REG                1,5         2362            19221262 /Users/presidio/Downloads/Genspark-Training/13-06-2025/WeatherApp/node_modules/@angular/core/package.json
Code\x20H  4669 presidio  170r      REG                1,5         8116            19225485 /Users/presidio/Downloads/Genspark-Training/13-06-2025/WeatherApp/node_modules/rxjs/package.json
Code\x20H  4669 presidio  171r      REG                1,5         1982            19227422 /Users/presidio/Downloads/Genspark-Training/13-06-2025/WeatherApp/node_modules/@angular/common/package.json
Code\x20H  4669 presidio  172r      REG                1,5         1776            19217600 /Users/presidio/Downloads/Genspark-Training/13-06-2025/WeatherApp/node_modules/@angular/router/package.json
Code\x20H  4669 presidio  173r      REG                1,5        11379            19254303 /Users/presidio/Downloads/Genspark-Training/13-06-2025/WeatherApp/node_modules/@angular/material/package.json
Code\x20H  4669 presidio  174r      REG                1,5         4954            19254236 /Users/presidio/Downloads/Genspark-Training/13-06-2025/WeatherApp/node_modules/@angular/cdk/package.json
Code\x20H  4669 presidio  175r      REG                1,5         1003            19208185 /Users/presidio/Downloads/Genspark-Training/13-06-2025/WeatherApp/package.json
Code\x20H  4669 presidio  176r      REG                1,5         1231            19213063 /Users/presidio/Downloads/Genspark-Training/13-06-2025/WeatherApp/node_modules/@angular/compiler/package.json
Code\x20H  4669 presidio  177r      REG                1,5         2186            19221019 /Users/presidio/Downloads/Genspark-Training/13-06-2025/WeatherApp/node_modules/zone.js/package.json
Code\x20H  4669 presidio  178r      REG                1,5         1378            19219290 /Users/presidio/Downloads/Genspark-Training/13-06-2025/WeatherApp/node_modules/@angular/forms/package.json
Code\x20H  4669 presidio  179r      REG                1,5           26            19213582 /Users/presidio/Downloads/Genspark-Training/13-06-2025/WeatherApp/node_modules/tslib/modules/package.json
Code\x20H  4669 presidio  180r      REG                1,5          636            19426417 /Users/presidio/Downloads/Genspark-Training/16-06-2025/MyApp/src/app/app.config.ts
Code\x20H  4669 presidio  181r      REG                1,5          997            19244653 /Users/presidio/Downloads/Genspark-Training/13-06-2025/WeatherApp/src/app/city-search-component/city-search-component.css
Code\x20H  4669 presidio  182r      REG                1,5          325            19426420 /Users/presidio/Downloads/Genspark-Training/16-06-2025/MyApp/src/app/app.routes.ts
